study.name,dint,SD,id,outcome,time,treatments
Brown,0.283194722,0.217890623,8,3,2,5
Brown,0.192419522,0.223542406,8,4,2,5
Brown,0.07492609,0.216231624,8,4,2,5
Brown,0.202292637,0.21998434,8,1,2,5
Brown,0.250094003,0.216181104,8,1,2,5
Brown,0.026080476,0.218827985,8,2,2,5
Brown,0.266946241,0.217536677,8,2,2,5
Brown,-0.209151391,0.216646871,8,3,2,5
Brown,0.663146847,0.224411719,8,3,2,5
Brown,0.079862511,0.226280512,8,4,2,5
Brown,0.131716753,0.221672728,8,4,2,5
Diab_a,0.319183845,0.356718593,9,1,1,3
Diab_a,0.284182247,0.337632057,9,1,4,3
Diab_a,0.965836203,0.506829495,9,2,1,3
Diab_a,0.262035634,0.410030465,9,2,4,3
Diab_a,0.244790562,0.357694929,9,1,1,3
Diab_a,0.048659745,0.350926367,9,1,4,3
Diab_a,1.261932069,0.490653577,9,2,1,3
Diab_a,0.298658832,0.373330973,9,2,4,3
Diab_b,-0.024168502,0.337809461,10,1,1,1
Diab_b,0.056862759,0.363716766,10,1,4,1
Diab_b,0.354332656,0.344269234,10,2,1,1
Diab_b,-0.660567454,0.342849471,10,2,4,1
Dlsk_Krlr,0.121189025,0.162288549,11,1,2,2
Dlsk_Krlr,0.371773794,0.165450859,11,2,2,2
Dlsk_Krlr,0.393664307,0.167925842,11,1,2,2
Dlsk_Krlr,0.231431157,0.17228623,11,2,2,2
Eki_diGnro,-0.015005115,0.369303418,12,1,1,3
Eki_diGnro,0.547737751,0.337588696,12,1,4,3
Eki_diGnro,-0.096980711,0.360293528,12,1,1,3
Eki_diGnro,0.23525278,0.338769541,12,1,4,3
Elis_Sh_Mur_Tak,-0.01302163,0.476506219,13,1,1,3
Elis_Sh_Mur_Tak,0.714488556,0.521508325,13,1,3,3
Elis_Sh_Mur_Tak,1.885728811,0.655917636,13,1,1,3
Elis_Sh_Mur_Tak,1.132933004,0.513466248,13,1,3,3
Ev_Hart_StngKras,1.093603367,0.407071559,14,1,2,35
Fazio,-0.130891968,0.361261646,15,1,2,99
Fazio,-0.546790608,0.384087069,15,1,2,99
Frear_Chiu,1.048502535,0.449398177,16,1,1,1
Frear_Chiu,1.160978919,0.432551811,16,1,2,1
Frear_Chiu,1.050774363,0.438925654,16,1,1,1
Frear_Chiu,0.988105134,0.405327586,16,1,2,1
Guo,0.634801654,0.292624867,17,1,1,1
Guo,0.907663758,0.310212572,17,1,3,1
Guo,0.992871666,0.314234312,17,1,4,1
Guo,1.279001408,0.330744497,17,1,1,1
Guo,0.939439876,0.316418558,17,1,3,1
Guo,0.364980419,0.282741307,17,1,4,1
Guo,0.543467407,0.293940515,17,1,1,1
Guo,0.346734017,0.286926162,17,1,3,1
Guo,0.922574299,0.31687064,17,1,4,1
Guo,0.497394924,0.295043709,17,1,1,1
Guo,0.939511403,0.310404006,17,1,3,1
Guo,0.215926341,0.281399999,17,1,4,1
Guo,0.852552414,0.309168703,17,1,1,1
Guo,0.680116979,0.295291532,17,1,3,1
Guo,0.770943674,0.306745995,17,1,4,1
Harts_Evans,0.993601935,0.433902813,18,1,2,8
Hartshorn,0.830466142,0.309998397,19,1,2,99
Hartshorn,0.948223419,0.311451673,19,2,2,99
Hartshorn,0.381740695,0.30495277,19,3,2,99
Hartshorn,-0.250818989,0.298690358,19,4,2,99
Jiang_Xiao,1.068066474,0.304986576,20,1,1,2
Jiang_Xiao,0.669985341,0.273538873,20,1,3,2
Jiang_Xiao,1.302198229,0.322687088,20,1,1,2
Jiang_Xiao,0.784184111,0.28058603,20,1,3,2
Karim_End.,-0.450380236,0.311276028,21,1,2,2
Karim_End.,-1.436728715,0.37183202,21,1,3,2
Karim_End.,0.348524995,0.327657536,21,1,3,2
Karim_End.,-1.060783962,0.34546165,21,1,2,2
Karim_End.,-1.887610336,0.432099994,21,1,3,2
Karim_End.,-0.329231355,0.329569763,21,1,3,2
Karim_End.,-0.796155566,0.32927813,21,1,2,2
Karim_End.,-1.427156303,0.385081167,21,1,3,2
Karim_End.,0.282406758,0.320775055,21,1,3,2
Karim_Nas.,0.161215943,0.408488695,22,1,2,3
Karim_Nas.,0.122666066,0.414992902,22,1,2,3
Karim_Nas.,0.710722344,0.451044335,22,1,2,3
Kassim_Ng,0.856788205,0.274024291,23,1,1,2
Kassim_Ng,1.306849432,0.303869004,23,1,4,2
Kassim_Ng,0.941233399,0.281397762,23,1,1,2
Kassim_Ng,1.274315874,0.30364062,23,1,4,2
Mubarak,0.917324928,0.408926948,24,1,1,12
Mubarak,0.102084383,0.373042497,24,1,4,12
Mubarak,0.755188343,0.462820316,24,2,1,12
Mubarak,1.176033455,0.509066692,24,2,4,12
Mubarak,0.528774788,0.453351658,24,3,1,12
Mubarak,-0.118904904,0.416855258,24,3,4,12
Mubarak,-0.088344593,0.394462635,24,4,1,12
Mubarak,0.539086991,0.438154222,24,4,4,12
Mubarak,0.985088561,0.390874848,24,1,1,12
Mubarak,0.740817728,0.389347577,24,1,4,12
Mubarak,-0.492667996,0.418354919,24,2,1,12
Mubarak,-1.369547948,0.513894183,24,2,4,12
Mubarak,0.206464074,0.39154712,24,3,1,12
Mubarak,-0.158771197,0.387988587,24,3,4,12
Mubarak,-0.361055682,0.402217141,24,4,1,12
Mubarak,0.266135313,0.435446957,24,4,4,12
Munoz,0.489898729,0.333167822,25,1,2,4
Munoz,-0.142803784,0.33917595,25,1,2,4
Nakazawa,0.620710702,0.446329666,26,1,4,5
Nakazawa,0.52700738,0.436840895,26,1,4,5
Nakazawa,0.207225597,0.450871238,26,1,4,5
Nemati_etal,4.613584413,0.30501192,27,1,2,4
Nemati_etal,2.375826097,0.357943024,27,1,3,4
Nemati_etal,5.09306209,0.30520108,27,1,2,4
Nemati_etal,2.868542442,0.209801519,27,1,3,4
Nusrat.etal.,-0.221041088,0.284089213,28,1,4,2
Nusrat.etal.,-0.187041906,0.298199439,28,2,4,2
Nusrat.etal.,1.517677436,0.331151055,28,3,4,2
Pariyto_Cah.,1.241478431,0.491054353,29,1,1,7
Pariyto_Cah.,0.050585674,0.406067745,29,1,3,7
Parreno,0.339953765,0.350337711,30,1,2,7
Parreno,-0.229188604,0.374684268,30,2,2,7
Parreno,0.805596812,0.372435882,30,3,2,7
Parreno,0.035013472,0.337696098,30,4,2,7
Parreno,0.050964027,0.362281471,30,1,2,7
Parreno,1.665864511,0.422461373,30,2,2,7
Parreno,0.585128586,0.350049591,30,3,2,7
Parreno,0.774271971,0.38133824,30,4,2,7
Parreno,2.215185588,0.43736736,30,1,2,7
Parreno,0.630444445,0.364672816,30,2,2,7
Parreno,0.724286673,0.413127722,30,3,2,7
Parreno,1.248117056,0.396130022,30,4,2,7
Pash.,0.900068175,0.353229974,31,1,1,2
Pash.,0.203265732,0.341071579,31,1,3,2
Pash.,0.92162687,0.401408961,31,1,1,2
Pash.,0.14052566,0.311792688,31,1,3,2
Pash.,-0.075847053,0.328994573,31,1,1,2
Pash.,0.001644134,0.33867921,31,1,3,2
Polio_etal,0.09026967,0.258224045,32,1,2,14
Polio_etal,0.322208575,0.252891285,32,2,2,14
Rahimi,0.12826041,0.29606653,33,1,3,3
