person_id,gender,Female,audio_vocab_1,audio_vocab_2,audio_vocab_3,audio_vocab_4,audio_vocab_5,audio_vocab_6,ctest_1,ctest_2,ctest_3,ctest_4,ctest_5,ctest_6,dictation_1,dictation_2,dictation_3,dictation_4,dictation_5,dictation_6,elicited_speech_1,elicited_speech_2,elicited_speech_3,elicited_speech_4,elicited_speech_5,elicited_speech_6,text_vocab_1,text_vocab_2,text_vocab_3,text_vocab_4,text_vocab_5,text_vocab_6,text_vocab_7,elicited_speech_7,dictation_7,audio_vocab_7,ctest_7
200,MALE,0,-4.59511985,-4.59511985,1.633721695,-1.347429542,-1.662705194,1.544829224,-1.189584069,-0.45953233,0.38566248,0.747214404,1.945910149,1.049822126,-16.11809555,5.091620065,-6.481836535,-16.11809555,-7.816170915,5.091620065,1.493775832,0.780257479,1.813783243,1.571433991,1.262341787,1.611838482,1.776866648,0.769119693,-2.104134156,0.646559755,1.387742165,0.6211273,NA,NA,NA,0.112267129,NA
201,FEMALE,1,0.61173156,-2.232553319,1.633721695,-0.794298141,1.626949797,1.544829224,0.245122459,1.466337069,0.826678574,2.397895277,0.780158559,2.169053696,5.091620065,5.091620065,-16.11809555,-8.343001856,-8.322206085,-5.770824719,1.032245778,1.563589544,0.902836849,0.084232199,0.781123015,0.52523317,1.475518862,-0.287299612,3.778654106,3.799796816,2.41845565,3.80666251,2.41845565,NA,NA,NA,NA
202,MALE,0,3.106649875,-4.59511985,0.112267129,0.112267129,1.626949797,1.633721695,-1.056052675,1.413693335,2.564949364,-0.268263988,16.11809555,-1.185623667,5.091620065,-13.75724059,-16.11809555,-1.148640363,5.091620065,0.149475864,0.930539739,1.745846934,1.314812656,1.119401786,1.804548652,0.128708354,0.667137127,2.408079255,-0.287299612,0.667137127,1.967645716,-0.000648312,0.949268412,NA,NA,NA,NA
203,FEMALE,1,3.048356133,3.106649875,1.626949797,3.106649875,3.048356133,1.014477605,16.11809555,1.446918986,1.386294361,2.001480001,16.11809555,16.11809555,5.091620065,0.609556263,1.093544323,5.091620065,-3.719528526,5.091620065,1.759851391,2.356986677,2.774281004,1.706174764,0.578679106,1.840364039,2.431618334,2.431618334,2.427877964,3.778654106,3.741447316,2.427877964,NA,NA,NA,NA,3.238678454
204,MALE,0,1.364739013,0.104645755,-0.765065957,-4.59511985,1.364739013,0.844005574,-0.762140053,-0.546543705,-1.481604542,-0.048790164,0.325422399,0.087011375,5.091620065,-16.11809555,-5.757575623,-9.569806746,-16.11809555,-16.11809555,-16.11809555,0.99505859,0.721867583,1.090740033,1.623127436,0.755884877,2.371622852,0.624626865,0.162611174,1.134904646,2.427877964,-0.158825934,NA,NA,NA,1.014477605,NA
205,FEMALE,1,3.106649875,0.112267129,3.048356133,0.112267129,1.633721695,0.112267129,0.84729786,16.11809555,0.693147182,1.832581468,-0.302280872,2.251291801,-7.017791439,5.091620065,5.091620065,-16.11809555,5.091620065,-11.00008514,2.075317254,1.113634519,1.033075928,0.717428667,1.960953953,1.908361642,3.684604335,0.970335585,3.799796816,0.970335585,2.408079255,2.238059399,NA,NA,5.091620065,NA,NA
206,FEMALE,1,-0.661580961,1.544829224,0.122347706,0.470119715,3.106649875,NA,1.791759468,16.11809555,3.044522448,0.38566248,-0.080042708,0.641853887,5.091620065,-13.94904108,-8.343001856,-16.11809555,-9.847054318,5.091620065,1.119625775,1.030074413,0.855790239,0.478672839,0.568747175,0.684802323,0.291985706,-2.049101393,3.778654106,1.945754885,1.650158167,NA,NA,NA,NA,NA,NA
207,OTHER,2,1.626949797,1.544829224,0.61173156,1.014477605,0.468271635,-2.232553319,2.110213201,0.798507694,0.594707106,16.11809555,16.11809555,1.44036158,5.091620065,-16.11809555,-16.11809555,5.091620065,5.091620065,-13.93316771,0.045812827,1.160256852,0.302991866,-16.11809555,1.812944854,-0.49243937,0.327700951,0.539483747,2.408079255,-0.044966619,-0.000648312,1.945754885,3.778654106,1.546195456,NA,NA,NA
208,MALE,0,1.364739013,-0.661580961,3.048356133,-4.59511985,-0.765065957,-4.59511985,-0.336472235,0.510825624,-0.051293295,-0.382992254,1.335001069,1.036091931,5.091620065,-15.89495197,2.314010604,5.091620065,-14.3516534,5.091620065,2.590139143,1.851197075,1.994449849,1.827933384,1.654286174,1.589571297,-1.623185327,0.678415044,0.685219665,0.291985706,1.857284326,1.607331963,NA,NA,NA,NA,1.098612289
209,FEMALE,1,1.633721695,-1.347429542,-0.765065957,1.633721695,-0.765065957,1.626949797,1.722766594,16.11809555,-0.534082488,1.60943791,16.11809555,-0.207639365,1.562085961,-3.645115389,5.091620065,0.66732258,0.899237352,-11.94524154,1.976737445,1.572969092,1.642590529,1.547481282,1.604840407,0.825276244,3.741447316,0.539483747,-2.222380223,0.58627419,2.385736439,2.431618334,NA,NA,5.091620065,NA,NA
